return value,lower ci,upper ci,Method
8.53341647060813,8.20768838861823,8.827750866723216,POT
8.632018462497733,8.303463930457047,8.934786748023464,POT
8.730830519581014,8.400213355752278,9.041900764001284,POT
8.82024023488103,8.488440213572876,9.138691931679562,POT
8.901769009620056,8.566096471990122,9.226842445423749,POT
8.976604507387606,8.631563803876682,9.307663704758143,POT
9.277879103293929,8.888277338424743,9.66724068335862,POT
10.130865565869946,9.546929368240972,10.718069463956335,POT
10.680915049933283,9.955196748973995,11.43661530933809,POT
11.301476270916776,10.363577096491982,12.147671205640131,POT
11.701646020857286,10.575710382400569,12.69054841656514,POT
